Geneid,SRR6671741,SRR6671742,SRR6671744,SRR6671745,SRR6671746,SRR6671748,SRR6671757,SRR6671770,SRR6671771,SRR6671776,SRR6671780,SRR6671781,SRR6671782,SRR6671790,SRR6671736,SRR6671739,SRR6671749,SRR6671752,SRR6671753,SRR6671754,SRR6671755,SRR6671764,SRR6671772,SRR6671773,SRR6671775,SRR6671777,SRR6671779,SRR6671789,SRR6671737,SRR6671738,SRR6671740,SRR6671743,SRR6671747,SRR6671750,SRR6671751,SRR6671756,SRR6671758,SRR6671759,SRR6671760,SRR6671761,SRR6671762,SRR6671763,SRR6671765,SRR6671766,SRR6671767,SRR6671768,SRR6671769,SRR6671774,SRR6671778,SRR6671783,SRR6671784,SRR6671785,SRR6671786,SRR6671787,SRR6671788,SRR6671791,SRR6671792
AAC76685.2,113,120,167.028,163.314,109.001,369,142.024,101,290,123.17,1877.591,172,83,110.158,130.248,77.004,148.001,198.012,140.027,375.838,113.415,145.001,83.097,111,153.121,79,1743.089,124,124.014,131,114,130.003,130.092,108.068,375.003,105,183.304,138.326,164.004,72.194,100.013,209.197,121.885,146,103.078,108,115,87.009,1429.872,588.41,138.004,114,142.008,175.107,183.111,113,154.212
AAC76686.2,176.07,133.015,131.984,178.393,126.048,335.064,118.006,81.616,248.061,81.344,179.415,444.93,246.974,168.005,128.463,104.019,167,233.032,201.336,339.084,93.046,117.122,90.037,107.018,115.011,72.031,192.605,133.993,130,156,108,116.028,146.459,105.001,327.983,109,142.154,106,102.025,69,78.009,153.077,129.209,145.088,97.133,130.002,97.21,100.022,137,144.256,147.28,109.997,111,153.966,116.61,136.021,184.977
AAC76687.2,19,17,8.016,19.607,16.002,22,11.08,8,20,9,23.012,63.07,55.026,12,7,7,12,30.339,34.011,38.03,13,18.878,10,7,18.003,4,33.036,8.007,9,6,10,8,23.801,2,53.024,11,19,12,6,6,6,30,15.005,11,10,5,8.007,12,20,6,5.001,3.003,4,10.072,13,4.002,13.029
AAC76688.1,283.156,270.441,445.025,1280.246,998.215,635,396.515,163.013,605.247,291.669,183.356,3183.348,1562.27,175.629,164.918,267.021,291.035,1413.74,1825.835,745.003,239.563,1280.598,211.072,294.088,314.575,331.54,202.628,171,192.21,125,266.117,265.512,1360.501,354.752,2100.095,193.646,381.203,228.128,227.946,352.534,446.853,1650.51,1417.676,149,159.625,256,116.003,318.007,161.488,79,130.997,162,159.006,191.152,225.409,176.001,257.01
AAC76689.1,18,17,12,26,13,55,25.004,14,27,12.045,42,90,63,20,16.002,15.815,20,25,23.004,67,17,14,11,9,17,16,45.051,18,20,17,24,13,29,13,54,21,33,19,17,8,10,32,20.006,24,12,12,16,16,29,20,18.001,18,11,18,33.011,18,24
AAC76690.2,128.252,82.224,93.002,126.77,81.797,194.358,60.043,37,143.033,49.065,137.003,236,178.831,84.966,68.807,71.002,86.816,211.441,179.723,194.136,73,160.745,62.687,76.048,56.58,62.3,165.826,100.829,84.998,142.428,95.228,102.519,131.791,61.392,390.464,75.494,75.002,65.952,85.182,62.86,82.355,253.801,177.165,84.026,70.203,84.206,35,84.105,94,42,52.004,52.42,47.241,70.606,63.068,62.117,96.961
AAC76691.2,201.794,142.854,194.82,367.906,262.946,249.164,133.464,83.823,232.239,178.358,148.328,52.274,33.218,152.464,116.598,168.87,144.513,746.08,715.445,274.025,145.5,308.141,87.684,138.449,113.151,137.883,158.611,136.492,127.931,291.823,141.374,155.12,340.71,139.297,1049.569,121.095,121.121,106.511,173.765,154.068,188.717,471.263,360.463,102.749,134.615,204.789,47.805,159.937,121.544,19.158,76.258,77.262,86.374,105.734,85.635,181.787,258.502
AAC76692.1,314.621,197.671,354.756,361.732,276.759,416.223,217.936,130.827,376.782,234.904,177.881,97.424,27.003,203.896,169.57,234.782,223.783,375.93,386.221,463.377,166.588,275.781,150.183,234.829,217.835,204.552,198.094,188.969,196.485,390.181,216.653,249.342,324.293,222.236,493.74,212.87,252.047,220.852,239.032,224.093,284.441,302.516,253.699,179.226,187.833,278.723,84.324,211.251,153.46,58.932,112.917,144.321,148.537,161.046,161.437,246.137,299.983
AAC76693.1,58.474,58.172,40.103,23.97,18.82,92.499,71.692,31.193,59.847,44.551,45.259,652.295,186.649,31.693,53.92,87.215,34.149,132.543,95.509,165.91,40.538,38.158,47.134,55.051,48.462,60.548,87.241,72.026,41.642,27.605,94.886,45.763,19.679,33.522,89.59,29.414,71.895,39.062,48.612,39.833,49.488,28.348,24.097,51.124,39.209,28.345,37.451,31.451,60.059,51.182,45.14,16.87,23.033,107.479,56.893,19.146,22.394
AAC76694.1,342.053,399.573,383.641,248.03,182.57,841.768,452.677,141.565,456.155,291.752,511.047,4487.788,1321.584,209.211,296.346,595.416,251.036,846.154,727.186,1203.588,238.02,205.843,256.369,226.91,431.741,234.801,626.198,449.641,236.108,247.423,675.933,279.132,195.674,229.056,692.778,199.609,471.847,260.981,299.418,261.29,292.666,277.913,134.479,359.888,200.295,256.008,220.549,208.571,385.222,224.031,215.006,173.13,129.013,602.509,354.245,158.869,162.09
